"X1","X2"
"Sox17",0.966331607134433
"Sox17",3.11534403814496e-17
"Sox17",3.1156188766103e-17
"Sox17",0.000690296603286456
"Sox17",1
"Sox17",4.51344952557626e-14
"Mrpl15",0.999999997349
"Mrpl15",0.651147079681456
"Oprk1",0.0233457610431143
"St18",0.999999514594967
"St18",2.65107859351703e-05
"St18",0.999982441939731
"St18",4.26933516231636e-05
"Sntg1",0.00792204022722364
"Adhfe1",0.999988579287881
"Mybl1",0.548489400419094
"Sgk3",0.787225350361463
"Ppp1r42",1.66745047636989e-06
"Cops5",0.468177808775565
"Cops5",0.955216011945253
"A830018L16Rik",0.999971856295574
"Sulf1",0.406273610155234
"Ncoa2",0.877251403567193
"Eya1",0.634271420845245
"Terf1",0.925270581565827
"Stau2",0.320989585688602
"Ube2w",0.898334189892218
"Ube2w",0.862188387068605
"Ly96",0.999996994030964
"Tfap2b",0.708582284702248
"Tmem14a",0.279847326442656
"Gsta3",0.13512524858167
"Gsta3",0.0642881950967756
"Kcnq5",0.00521888211447467
"Rims1",0.0168765630652347
"Dst",0.199309080863648
"Dst",0.199309080863648
"Fam168b",0.0332314504270821
"Fam168b",0.0422108169518902
"Arid5a",1
"Arid5a",0.134587666772078
"Arid5a",0.55183813033835
"Cnnm3",0.175855903876692
"Cnga3",0.00134714557470156
"Inpp4a",0.299685132491578
"Inpp4a",0.700314867508422
"Inpp4a",0.839133456604848
"Inpp4a",0.210168121979053
"Mgat4a",0.546340847151794
"Tsga10",0.576519789866131
"Tsga10",0.999966601172613
"Rpl31",0.99999005891302
"Rpl31",0.999919142209729
"Rpl31",0.109477776225916
"Map4k4",0.341924036522602
"Map4k4",0.215920666741587
"Map4k4",0.697537325987053
"Map4k4",0.0943094809879841
"Map4k4",0.164207630096818
"Il18r1",0.251012317687969
"Gm4776",0.000413776721060352
"Myo1b",0.507561366820295
"Myo1b",1.4431039171992e-05
"Stat1",0.0794348750764759
"Stat1",0.82306492562626
"Stat1",0.920565124923524
"Tmem194b",0.567103051461081
"Osgepl1",0.904466868798654
"Osgepl1",0.0955331312013458
"Osgepl1",1.12169324099902e-05
"Osgepl1",0.904465899572367
"Asnsd1",0.757853606860264
"Coq10b",0.999819585636969
"9130024F11Rik",0.372468103740255
"Tyw5",0.33261869177621
"Kctd18",0.875956661567044
"Clk1",0.776664341817449
"Clk1",0.333651396570932
"Ppil3",0.152409030298396
"Ppil3",0.655008331979694
"Ppil3",0.0865143028776846
"Orc2",0.85030531508446
"Cflar",0.402690071523143
"Cflar",0.999959500415843
"Casp8",5.03735904643463e-07
"Carf",0.412614067224782
"Carf",0.587328528979613
"Abi2",4.19368072883877e-06
"Abi2",4.19368000093701e-06
"Abi2",7.2790176282279e-13
"Abi2",1.73571096582821e-07
"Abi2",0.999999999999272
"Ctla4",0.999989245642876
"Nrp2",0.651732207219323
"Nrp2",0.65191032435282
"Nrp2",0.436663287548457
"Nrp2",0.407941880818086
"Nrp2",0.436856355966672
"Ino80d",0.748414166466579
"Ndufs1",0.201378399711554
"Ndufs1",0.141089945661587
"Ndufs1",0.263203634913172
"Ndufs1",0.35415646705472
"Zdbf2",0.00108848555294141
"Zdbf2",0.303095419415798
"Zdbf2",0.00169895637571781
"Zdbf2",0.00357837983917416
"Zdbf2",0.996421620160826
"Creb1",0.3676557300862
"Creb1",0.975001698115698
"Fzd5",0.261640310811254
"D630023F18Rik",0.000852320597214581
"Map2",0.999961291715416
"Kansl1l",0.455477978565282
"Kansl1l",0.544522021434718
"Lancl1",0.634936753830564
"Fn1",0.52313738529777
"Fn1",0.436740196228846
"Fn1",0.913525686043087
"Fn1",0.768670423756929
"Fn1",0.76072259642415
"Rufy4",0.00416746054234964
"Plcd4",0.0616595382642587
"Atg9a",0.444098075804778
"Atg9a",0.555901924195222
"Atg9a",0.111603996643708
"Atg9a",0.952501684177512
"Ankzf1",0.999997828381127
"Ankzf1",0.178052264639204
"Stk16",0.227906940597
"Stk16",0.864254405659139
"Dnajb2",0.952919421918529
"Dnajb2",0.999900875802736
"Dnajb2",0.290565850892151
"Chpf",0.214108887189419
"Gm17751",0.608404618837886
"Pax3",0.432958064256196
"Pax3",0.432958064256196
"Farsb",0.9999732581702
"Farsb",0.99999981943503
"Acsl3",0.23917195019479
"Acsl3",0.999900173034799
"Daw1",0.0215183541626895
"C130026I21Rik",0.300253456819466
"Dis3l2",0.340708529426205
"Gigyf2",0.533849447859658
"Neu2",1.81651945680554e-09
"Inpp5d",0.670415250938576
"Inpp5d",0.670415250938576
"Atg16l1",0.282922538027223
"Atg16l1",2.95205528561022e-05
"Agap1",0.831485199085467
"Ackr3",3.32002213857872e-06
"Col6a3",0.401608700144263
"Lrrfip1",0.0930815574689724
"Ramp1",2.16518961369276e-05
"Kif1a",0.000277454393588618
"Ano7",0.999995554036651
"Sept2",0.96966729857739
"Sept2",9.21583323353981e-06
"Slco6d1",0.0023788065871488
"Rnf152",0.000432533716384194
"2310035C23Rik",0.999977155761963
"Zcchc2",0.393136392696668
"Serpinb10",0.834930666703146
"D830032E09Rik",0.000905024767822366
"Clasp1",0.615616968578888
"Clasp1",0.0235434461747758
"Clasp1",0.0235434461747758
"Clasp1",0.360839585246336
"Clasp1",0.0235434461747758
"3110009E18Rik",0.915405294400211
"3110009E18Rik",0.0845947055997885
"Insig2",1
"Actr3",0.443863418488027
"Actr3",0.567369270179068
"Nckap5",1
"Pfkfb2",0.217633872880738
"Pfkfb2",0.999999999924681
"Fcamr",6.63845373640481e-06
"Nuak2",6.19354111596844e-06
